xb6af	;
0x8acc	0x8ad0
0x8acd	0xe679
0x8acf	0x907a
0x8ad2	0x97c8
0x8ad6	0x985f
0x8ada	0xe67b
0x8adb	0xe687
0x8adc	0x92b3
0x8ade	0xe686
0x8adf	0xfba8
0x8ae0	0xe683
0x8ae1	0xe68b
0x8ae2	0xe684
0x8ae4	0xe680
0x8ae6	0x92fa
0x8ae7	0xe67e
0x8aeb	0xe67c
0x8aed	0x9740
0x8aee	0x8e90
0x8af1	0xe681
0x8af3	0xe67d
0x8af6	0xfbaa
0x8af7	0xe685
0x8af8	0x8f94
0x8afa	0x8cbf
0x8afe	0x91f8
0x8b00	0x9664
0x8b01	0x8979
0x8b02	0x88e0
0x8b04	0x93a3
0x8b07	0xe689
0x8b0c	0xe688
0x8b0e	0x93e4
0x8b10	0xe68d
0x8b14	0xe682
0x8b16	0xe68c
0x8b17	0xe68e
0x8b19	0x8caa
0x8b1a	0xe68a
0x8b1b	0x8d75
0x8b1d	0x8ed3
0x8b20	0xe68f
0x8b21	0x9777
0x8b26	0xe692
0x8b28	0xe695
0x8b2b	0xe693
0x8b2c	0x9554
0x8b33	0xe690
0x8b39	0x8bde
0x8b3e	0xe694
0x8b41	0xe696
0x8b49	0xe69a
0x8b4c	0xe697
0x8b4e	0xe699
0x8b4f	0xe698
0x8b53	0xfbab
0x8b56	0xe69b
0x8b58	0x8eaf
0x8b5a	0xe69d
0x8b5b	0xe69c
0x8b5c	0x9588
0x8b5f	0xe69f
0x8b66	0x8c78
0x8b6b	0xe69e
0x8b6c	0xe6a0
0x8b6f	0xe6a1
0x8b70	0x8b63
0x8b71	0xe3bf
0x8b72	0x8ff7
0x8b74	0xe6a2
0x8b77	0x8cec
0x8b7d	0xe6a3
0x8b7f	0xfbac
0x8b80	0xe6a4
0x8b83	0x8e5d
0x8b8a	0x9dcc
0x8b8c	0xe6a5
0x8b8e	0xe6a6
0x8b90	0x8f51
0x8b92	0xe6a7
0x8b93	0xe6a8
0x8b96	0xe6a9
0x8b99	0xe6aa
0x8b9a	0xe6ab
0x8c37	0x924a
0x8c3a	0xe6ac
0x8c3f	0xe6ae
0x8c41	0xe6ad
0x8c46	0x93a4
0x8c48	0xe6af
0x8c4a	0x964c
0x8c4c	0xe6b0
0x8c4e	0xe6b1
0x8c50	0xe6b2
0x8c55	0xe6b3
0x8c5a	0x93d8
0x8c61	0x8fdb
0x8c62	0xe6b4
0x8c6a	0x8d8b
0x8c6b	0x98ac
0x8c6c	0xe6b5
0x8c78	0xe6b6
0x8c79	0x955e
0x8c7a	0xe6b7
0x8c7c	0xe6bf
0x8c82	0xe6b8
0x8c85	0xe6ba
0x8c89	0xe6b9
0x8c8a	0xe6bb
0x8c8c	0x9665
0x8c8d	0xe6bc
0x8c8e	0xe6bd
0x8c94	0xe6be
0x8c98	0xe6c0
0x8c9d	0x8a4c
0x8c9e	0x92e5
0x8ca0	0x9589
0x8ca1	0x8de0
0x8ca2	0x8d76
0x8ca7	0x956e
0x8ca8	0x89dd
0x8ca9	0x94cc
0x8caa	0xe6c3
0x8cab	0x8ad1
0x8cac	0x90d3
0x8cad	0xe6c2
0x8cae	0xe6c7
0x8caf	0x9299
0x8cb0	0x96e1
0x8cb2	0xe6c5
0x8cb3	0xe6c6
0x8cb4	0x8b4d
0x8cb6	0xe6c8
0x8cb7	0x9483
0x8cb8	0x91dd
0x8cbb	0x94ef
0x8cbc	0x935c
0x8cbd	0xe6c4
0x8cbf	0x9666
0x8cc0	0x89ea
0x8cc1	0xe6ca
0x8cc2	0x9847
0x8cc3	0x92c0
0x8cc4	0x9864
0x8cc7	0x8e91
0x8cc8	0xe6c9
0x8cca	0x91af
0x8ccd	0xe6da
0x8cce	0x9147
0x8cd1	0x93f6
0x8cd3	0x956f
0x8cda	0xe6cd
0x8cdb	0x8e5e
0x8cdc	0x8e92
0x8cde	0x8fdc
0x8ce0	0x9485
0x8ce2	0x8cab
0x8ce3	0xe6cc
0x8ce4	0xe6cb
0x8ce6	0x958a
0x8cea	0x8ebf
0x8ced	0x9371
0x8cf0	0xfbad
0x8cf4	0xfbae
0x8cfa	0xe6cf
0x8cfb	0xe6d0
0x8cfc	0x8d77
0x8cfd	0xe6ce
0x8d04	0xe6d1
0x8d05	0xe6d2
0x8d07	0xe6d4
0x8d08	0x91a1
0x8d0a	0xe6d3
0x8d0b	0x8ae4
0x8d0d	0xe6d6
0x8d0f	0xe6d5
0x8d10	0xe6d7
0x8d12	0xfbaf
0x8d13	0xe6d9
0x8d14	0xe6db
0x8d16	0xe6dc
0x8d64	0x90d4
0x8d66	0x8ecd
0x8d67	0xe6dd
0x8d6b	0x8a71
0x8d6d	0xe6de
0x8d70	0x9196
0x8d71	0xe6df
0x8d73	0xe6e0
0x8d74	0x958b
0x8d76	0xfbb0
0x8d77	0x8b4e
0x8d81	0xe6e1
0x8d85	0x92b4
0x8d8a	0x897a
0x8d99	0xe6e2
0x8da3	0x8eef
0x8da8	0x9096
0x8db3	0x91ab
0x8dba	0xe6e5
0x8dbe	0xe6e4
0x8dc2	0xe6e3
0x8dcb	0xe6eb
0x8dcc	0xe6e9
0x8dcf	0xe6e6
0x8dd6	0xe6e8
0x8dda	0xe6e7
0x8ddb	0xe6ea
0x8ddd	0x8b97
0x8ddf	0xe6ee
0x8de1	0x90d5
0x8de3	0xe6ef
0x8de8	0x8cd7
0x8dea	0xe6ec
0x8deb	0xe6ed
0x8def	0x9848
0x8df3	0x92b5
0x8df5	0x9148
0x8dfc	0xe6f0
0x8dff	0xe6f3
0x8e08	0xe6f1
0x8e09	0xe6f2
0x8e0a	0x9778
0x8e0f	0x93a5
0x8e10	0xe6f6
0x8e1d	0xe6f4
0x8e1e	0xe6f5
0x8e1f	0xe6f7
0x8e2a	0xe748
0x8e30	0xe6fa
0x8e34	0xe6fb
0x8e35	0xe6f9
0x8e42	0xe6f8
0x8e44	0x92fb
0x8e47	0xe740
0x8e48	0xe744
0x8e49	0xe741
0x8e4a	0xe6fc
0x8e4c	0xe742
0x8e50	0xe743
0x8e55	0xe74a
0x8e59	0xe745
0x8e5f	0x90d6
0x8e60	0xe747
0x8e63	0xe749
0x8e64	0xe746
0x8e72	0xe74c
0x8e74	0x8f52
0x8e76	0xe74b
0x8e7c	0xe74d
0x8e81	0xe74e
0x8e84	0xe751
0x8e85	0xe750
0x8e87	0xe74f
0x8e8a	0xe753
0x8e8b	0xe752
0x8e8d	0x96f4
0x8e91	0xe755
0x8e93	0xe754
0x8e94	0xe756
0x8e99	0xe757
0x8ea1	0xe759
0x8eaa	0xe758
0x8eab	0x9067
0x8eac	0xe75a
0x8eaf	0x8beb
0x8eb0	0xe75b
0x8eb1	0xe75d
0x8ebe	0xe75e
0x8ec5	0xe75f
0x8ec6	0xe75c
0x8ec8	0xe760
0x8eca	0x8ed4
0x8ecb	0xe761
0x8ecc	0x8b4f
0x8ecd	0x8c52
0x8ecf	0xfbb2
0x8ed2	0x8cac
0x8edb	0xe762
0x8edf	0x93ee
0x8ee2	0x935d
0x8ee3	0xe763
0x8eeb	0xe766
0x8ef8	0x8eb2
0x8efb	0xe765
0x8efc	0xe764
0x8efd	0x8c79
0x8efe	0xe767
0x8f03	0x8a72
0x8f05	0xe769
0x8f09	0x8dda
0x8f0a	0xe768
0x8f0c	0xe771
0x8f12	0xe76b
0x8f13	0xe76d
0x8f14	0x95e3
0x8f15	0xe76a
0x8f19	0xe76c
0x8f1b	0xe770
0x8f1c	0xe76e
0x8f1d	0x8b50
0x8f1f	0xe76f
0x8f26	0xe772
0x8f29	0x9479
0x8f2a	0x97d6
0x8f2f	0x8f53
0x8f33	0xe773
0x8f38	0x9741
0x8f39	0xe775
0x8f3b	0xe774
0x8f3e	0xe778
0x8f3f	0x9760
0x8f42	0xe777
0x8f44	0x8a8d
0x8f45	0xe776
0x8f46	0xe77b
0x8f49	0xe77a
0x8f4c	0xe779
0x8f4d	0x9351
0x8f4e	0xe77c
0x8f57	0xe77d
0x8f5c	0xe77e
0x8f5f	0x8d8c
0x8f61	0x8c44
0x8f62	0xe780
0x8f63	0xe781
0x8f64	0xe782
0x8f9b	0x9068
0x8f9c	0xe783
0x8f9e	0x8eab
0x8f9f	0xe784
0x8fa3	0xe785
0x8fa7	0x999f
0x8fa8	0x999e
0x8fad	0xe786
0x8fae	0xe390
0x8faf	0xe787
0x8fb0	0x9243
0x8fb1	0x904a
0x8fb2	0x945f
0x8fb7	0xe788
0x8fba	0x95d3
0x8fbb	0x92d2
0x8fbc	0x8d9e
0x8fbf	0x9248
0x8fc2	0x8949
0x8fc4	0x9698
0x8fc5	0x9076
0x8fce	0x8c7d
0x8fd1	0x8bdf
0x8fd4	0x95d4
0x8fda	0xe789
0x8fe2	0xe78b
0x8fe5	0xe78a
0x8fe6	0x89de
0x8fe9	0x93f4
0x8fea	0xe78c
0x8feb	0x9497
0x8fed	0x9352
0x8fef	0xe78d
0x8ff0	0x8f71
0x8ff4	0xe78f
0x8ff7	0x96c0
0x8ff8	0xe79e
0x8ff9	0xe791
0x8ffa	0xe792
0x8ffd	0x92c7
0x9000	0x91de
0x9001	0x9197
0x9003	0x93a6
0x9005	0xe790
0x9006	0x8b74
0x900b	0xe799
0x900d	0xe796
0x900e	0xe7a3
0x900f	0x93a7
0x9010	0x9280
0x9011	0xe793
0x9013	0x92fc
0x9014	0x9372
0x9015	0xe794
0x9016	0xe798
0x9017	0x9080
0x9019	0x9487
0x901a	0x92ca
0x901d	0x90c0
0x901e	0xe797
0x901f	0x91ac
0x9020	0x91a2
0x9021	0xe795
0x9022	0x88a7
0x9023	0x9841
0x9027	0xe79a
0x902e	0x91df
0x9031	0x8f54
0x9032	0x9069
0x9035	0xe79c
0x9036	0xe79b
0x9038	0x88ed
0x9039	0xe79d
0x903c	0x954e
0x903e	0xe7a5
0x9041	0x93d9
0x9042	0x908b
0x9045	0x9278
0x9047	0x8bf6
0x9049	0xe7a4
0x904a	0x9756
0x904b	0x895e
0x904d	0x95d5
0x904e	0x89df
0x904f	0xe79f
0x9050	0xe7a0
0x9051	0xe7a1
0x9052	0xe7a2
0x9053	0x93b9
0x9054	0x9242
0x9055	0x88e1
0x9056	0xe7a6
0x9058	0xe7a7
0x9059	0xeaa1
0x905c	0x91bb
0x905e	0xe7a8
0x9060	0x8993
0x9061	0x916b
0x9063	0x8cad
0x9065	0x9779
0x9067	0xfbb5
0x9068	0xe7a9
0x9069	0x934b
0x906d	0x9198
0x906e	0x8ed5
0x906f	0xe7aa
0x9072	0xe7ad
0x9075	0x8f85
0x9076	0xe7ab
0x9077	0x914a
0x9078	0x9149
0x907a	0x88e2
0x907c	0x97c9
0x907d	0xe7af
0x907f	0x94f0
0x9080	0xe7b1
0x9081	0xe7b0
0x9082	0xe7ae
0x9083	0xe284
0x9084	0x8ad2
0x9087	0xe78e
0x9089	0xe7b3
0x908a	0xe7b2
0x908f	0xe7b4
0x9091	0x9757
0x90a3	0x93df
0x90a6	0x964d
0x90a8	0xe7b5
0x90aa	0x8ed7
0x90af	0xe7b6
0x90b1	0xe7b7
0x90b5	0xe7b8
0x90b8	0x9340
0x90c1	0x88e8
0x90ca	0x8d78
0x90ce	0x9859
0x90db	0xe7bc
0x90de	0xfbb6
0x90e1	0x8c53
0x90e2	0xe7b9
0x90e4	0xe7ba
0x90e8	0x9594
0x90ed	0x8a73
0x90f5	0x9758
0x90f7	0x8bbd
0x90fd	0x9373
0x9102	0xe7bd
0x9112	0xe7be
0x9115	0xfbb8
0x9119	0xe7bf
0x9127	0xfbb9
0x912d	0x9341
0x9130	0xe7c1
0x9132	0xe7c0
0x9149	0x93d1
0x914a	0xe7c2
0x914b	0x8f55
0x914c	0x8ede
0x914d	0x947a
0x914e	0x9291
0x9152	0x8ef0
0x9154	0x908c
0x9156	0xe7c3
0x9158	0xe7c4
0x9162	0x907c
0x9163	0xe7c5
0x9165	0xe7c6
0x9169	0xe7c7
0x916a	0x978f
0x916c	0x8f56
0x9172	0xe7c9
0x9173	0xe7c8
0x9175	0x8d79
0x9177	0x8d93
0x9178	0x8e5f
0x9182	0xe7cc
0x9187	0x8f86
0x9189	0xe7cb
0x918b	0xe7ca
0x918d	0x91e7
0x9190	0x8ced
0x9192	0x90c1
0x9197	0x94ae
0x919c	0x8f58
0x91a2	0xe7cd
0x91a4	0x8fdd
0x91aa	0xe7d0
0x91ab	0xe7ce
0x91af	0xe7cf
0x91b4	0xe7d2
0x91b5	0xe7d1
0x91b8	0x8ff8
0x91ba	0xe7d3
0x91c0	0xe7d4
0x91c1	0xe7d5
0x91c6	0x94ce
0x91c7	0x8dd1
0x91c8	0x8edf
0x91c9	0xe7d6
0x91cb	0xe7d7
0x91cc	0x97a2
0x91cd	0x8f64
0x91ce	0x96ec
0x91cf	0x97ca
0x91d0	0xe7d8
0x91d1	0x8be0
0x91d6	0xe7d9
0x91d7	0xfbbb
0x91d8	0x9342
0x91da	0xfbba
0x91db	0xe7dc
0x91dc	0x8a98
0x91dd	0x906a
0x91de	0xfbbc
0x91df	0xe7da
0x91e1	0xe7db
0x91e3	0x92de
0x91e4	0xfbbf
0x91e5	0xfbc0
0x91e6	0x9674
0x91e7	0x8bfa
0x91ed	0xfbbd
0x91ee	0xfbbe
0x91f5	0xe7de
0x91f6	0xe7df
0x91fc	0xe7dd
0x91ff	0xe7e1
0x9206	0xfbc1
0x920a	0xfbc3
0x920d	0x93dd
0x920e	0x8a62
0x9210	0xfbc2
0x9211	0xe7e5
0x9214	0xe7e2
0x9215	0xe7e4
0x921e	0xe7e0
0x9229	0xe86e
0x922c	0xe7e3
0x9234	0x97e9
0x9237	0x8cd8
0x9239	0xfbca
0x923a	0xfbc4
0x923c	0xfbc6
0x923f	0xe7ed
0x9240	0xfbc5
0x9244	0x9353
0x9245	0xe7e8
0x9248	0xe7eb
0x9249	0xe7e9
0x924b	0xe7ee
0x924e	0xfbc7
0x9250	0xe7ef
0x9251	0xfbc9
0x9257	0xe7e7
0x9259	0xfbc8
0x925a	0xe7f4
0x925b	0x8994
0x925e	0xe7e6
0x9262	0x94ab
0x9264	0xe7ea
0x9266	0x8fde
0x9267	0xfbcb
0x9271	0x8d7a
0x9277	0xfbcd
0x9278	0xfbce
0x927e	0x9667
0x9280	0x8be2
0x9283	0x8f65
0x9285	0x93ba
0x9288	0xfa5f
0x9291	0x914c
0x9293	0xe7f2
0x9295	0xe7ec
0x9296	0xe7f1
0x9298	0x96c1
0x929a	0x92b6
0x929b	0xe7f3
0x929c	0xe7f0
0x92a7	0xfbcc
0x92ad	0x914b
0x92b7	0xe7f7
0x92b9	0xe7f6
0x92cf	0xe7f5
0x92d0	0xfbd2
0x92d2	0x964e
0x92d3	0xfbd6
0x92d5	0xfbd4
0x92d7	0xfbd0
0x92d9	0xfbd1
0x92e0	0xfbd5
0x92e4	0x8f9b
0x92e7	0xfbcf
0x92e9	0xe7f8
0x92ea	0x95dd
0x92ed	0x8973
0x92f2	0x9565
0x92f3	0x9292
0x92f8	0x8b98
0x92f9	0xfa65
0x92fa	0xe7fa
0x92fb	0xfbd9
0x92fc	0x8d7c
0x92ff	0xfbdc
0x9302	0xfbde
0x9306	0x8e4b
0x930f	0xe7f9
0x9310	0x908d
0x9318	0x908e
0x9319	0xe840
0x931a	0xe842
0x931d	0xfbdd
0x931e	0xfbdb
0x9320	0x8ff9
0x9321	0xfbd8
0x9322	0xe841
0x9323	0xe843
0x9325	0xfbd7
0x9326	0x8bd1
0x9328	0x9564
0x932b	0x8ee0
0x932c	0x9842
0x932e	0xe7fc
0x932f	0x8df6
0x9332	0x985e
0x9335	0xe845
0x933a	0xe844
0x933b	0xe846
0x9344	0xe7fb
0x9348	0xfa5e
0x934b	0x93e7
0x934d	0x9374
0x9354	0x92d5
0x9356	0xe84b
0x9357	0xfbe0
0x935b	0x9262
0x935c	0xe847
0x9360	0xe848
0x936c	0x8c4c
0x936e	0xe84a
0x9370	0xfbdf
0x9375	0x8cae
0x937c	0xe849
0x937e	0x8fdf
0x938c	0x8a99
0x9394	0xe84f
0x9396	0x8dbd
0x9397	0x9199
0x939a	0x92c8
0x93a4	0xfbe1
0x93a7	0x8a5a
0x93ac	0xe84d
0x93ad	0xe84e
0x93ae	0x92c1
0x93b0	0xe84c
0x93b9	0xe850
0x93c3	0xe856
0x93c6	0xfbe2
0x93c8	0xe859
0x93d0	0xe858
0x93d1	0x934c
0x93d6	0xe851
0x93d7	0xe852
0x93d8	0xe855
0x93dd	0xe857
0x93de	0xfbe3
0x93e1	0x8bbe
0x93e4	0xe85a
0x93e5	0xe854
0x93e8	0xe853
0x93f8	0xfbe4
0x9403	0xe85e
0x9407	0xe85f
0x9410	0xe860
0x9413	0xe85d
0x9414	0xe85c
0x9418	0x8fe0
0x9419	0x93a8
0x941a	0xe85b
0x9421	0xe864
0x942b	0xe862
0x9431	0xfbe5
0x9435	0xe863
0x9436	0xe861
0x9438	0x91f6
0x943a	0xe865
0x9441	0xe866
0x9444	0xe868
0x9445	0xfbe6
0x9448	0xfbe7
0x9451	0x8ad3
0x9452	0xe867
0x9453	0x96f8
0x945a	0xe873
0x945b	0xe869
0x945e	0xe86c
0x9460	0xe86a
0x9462	0xe86b
0x946a	0xe86d
0x9470	0xe86f
0x9475	0xe870
0x9477	0xe871
0x947c	0xe874
0x947d	0xe872
0x947e	0xe875
0x947f	0xe877
0x9481	0xe876
0x9577	0x92b7
0x9580	0x96e5
0x9582	0xe878
0x9583	0x914d
0x9587	0xe879
0x9589	0x95c2
0x958a	0xe87a
0x958b	0x8a4a
0x958f	0x895b
0x9591	0x8ad5
0x9592	0xfbe8
0x9593	0x8ad4
0x9594	0xe87b
0x9596	0xe87c
0x9598	0xe87d
0x9599	0xe87e
0x95a0	0xe880
0x95a2	0x8ad6
0x95a3	0x8a74
0x95a4	0x8d7d
0x95a5	0x94b4
0x95a7	0xe882
0x95a8	0xe881
0x95ad	0xe883
0x95b2	0x897b
0x95b9	0xe886
0x95bb	0xe885
0x95bc	0xe884
0x95be	0xe887
0x95c3	0xe88a
0x95c7	0x88c5
0x95ca	0xe888
0x95cc	0xe88c
0x95cd	0xe88b
0x95d4	0xe88e
0x95d5	0xe88d
0x95d6	0xe88f
0x95d8	0x93ac
0x95dc	0xe890
0x95e1	0xe891
0x95e2	0xe893
0x95e5	0xe892
0x961c	0x958c
0x9621	0xe894
0x9628	0xe895
0x962a	0x8de3
0x962e	0xe896
0x962f	0xe897
0x9632	0x9668
0x963b	0x916a
0x963f	0x88a2
0x9640	0x91c9
0x9642	0xe898
0x9644	0x958d
0x964b	0xe89b
0x964c	0xe899
0x964d	0x8d7e
0x964f	0xe89a
0x9650	0x8cc0
0x965b	0x95c3
0x965c	0xe89d
0x965d	0xe89f
0x965e	0xe89e
0x965f	0xe8a0
0x9662	0x8940
0x9663	0x9077
0x9664	0x8f9c
0x9665	0x8ad7
0x9666	0xe8a1
0x966a	0x9486
0x966c	0xe8a3
0x9670	0x8941
0x9672	0xe8a2
0x9673	0x92c2
0x9675	0x97cb
0x9676	0x93a9
0x9677	0xe89c
0x9678	0x97a4
0x967a	0x8caf
0x967d	0x977a
0x9685	0x8bf7
0x9686	0x97b2
0x9688	0x8c47
0x968a	0x91e0
0x968b	0xe440
0x968d	0xe8a4
0x968e	0x8a4b
0x968f	0x908f
0x9694	0x8a75
0x9695	0xe8a6
0x9697	0xe8a7
0x9698	0xe8a5
0x9699	0x8c84
0x969b	0x8ddb
0x969c	0x8fe1
0x969d	0xfbeb
0x96a0	0x8942
0x96a3	0x97d7
0x96a7	0xe8a9
0x96a8	0xe7ac
0x96aa	0xe8a8
0x96af	0xfbec
0x96b0	0xe8ac
0x96b1	0xe8aa
0x96b2	0xe8ab
0x96b4	0xe8ad
0x96b6	0xe8ae
0x96b7	0x97ea
0x96b8	0xe8af
0x96b9	0xe8b0
0x96bb	0x90c7
0x96bc	0x94b9
0x96c0	0x909d
0x96c1	0x8ae5
0x96c4	0x9759
0x96c5	0x89eb
0x96c6	0x8f57
0x96c7	0x8cd9
0x96c9	0xe8b3
0x96cb	0xe8b2
0x96cc	0x8e93
0x96cd	0xe8b4
0x96ce	0xe8b1
0x96d1	0x8e47
0x96d5	0xe8b8
0x96d6	0xe5ab
0x96d9	0x99d4
0x96db	0x9097
0x96dc	0xe8b6
0x96e2	0x97a3
0x96e3	0x93ef
0x96e8	0x894a
0x96ea	0x90e1
0x96eb	0x8eb4
0x96f0	0x95b5
0x96f2	0x895f
0x96f6	0x97eb
0x96f7	0x978b
0x96f9	0xe8b9
0x96fb	0x9364
0x9700	0x8ef9
0x9704	0xe8ba
0x9706	0xe8bb
0x9707	0x906b
0x9708	0xe8bc
0x970a	0x97ec
0x970d	0xe8b7
0x970e	0xe8be
0x970f	0xe8c0
0x9711	0xe8bf
0x9713	0xe8bd
0x9716	0xe8c1
0x9719	0xe8c2
0x971c	0x919a
0x971e	0x89e0
0x9724	0xe8c3
0x9727	0x96b6
0x972a	0xe8c4
0x9730	0xe8c5
0x9732	0x9849
0x9733	0xfbed
0x9738	0x9e50
0x9739	0xe8c6
0x973b	0xfbee
0x973d	0xe8c7
0x973e	0xe8c8
0x9742	0xe8cc
0x9743	0xfbef
0x9744	0xe8c9
0x9746	0xe8ca
0x9748	0xe8cb
0x9749	0xe8cd
0x974d	0xfbf0
0x974f	0xfbf1
0x9751	0xfbf2
0x9752	0x90c2
0x9755	0xfbf3
0x9756	0x96f5
0x9759	0x90c3
0x975c	0xe8ce
0x975e	0x94f1
0x9760	0xe8cf
0x9761	0xea72
0x9762	0x96ca
0x9764	0xe8d0
0x9766	0xe8d1
0x9768	0xe8d2
0x9769	0x8a76
0x976b	0xe8d4
0x976d	0x9078
0x9771	0xe8d5
0x9774	0x8c43
0x9779	0xe8d6
0x977a	0xe8da
0x977c	0xe8d8
0x9781	0xe8d9
0x9784	0x8a93
0x9785	0xe8d7
0x9786	0xe8db
0x978b	0xe8dc
0x978d	0x88c6
0x978f	0xe8dd
0x9790	0xe8de
0x9798	0x8fe2
0x979c	0xe8df
0x97a0	0x8b66
0x97a3	0xe8e2
0x97a6	0xe8e1
0x97a8	0xe8e0
0x97ab	0xe691
0x97ad	0x95da
0x97b3	0xe8e3
0x97b4	0xe8e4
0x97c3	0xe8e5
0x97c6	0xe8e6
0x97c8	0xe8e7
0x97cb	0xe8e8
0x97d3	0x8ad8
0x97dc	0xe8e9
0x97ed	0xe8ea
0x97ee	0x9442
0x97f2	0xe8ec
0x97f3	0x89b9
0x97f5	0xe8ef
0x97f6	0xe8ee
0x97fb	0x8943
0x97ff	0x8bbf
0x9801	0x95c5
0x9802	0x92b8
0x9803	0x8da0
0x9805	0x8d80
0x9806	0x8f87
0x9808	0x907b
0x980c	0xe8f1
0x980f	0xe8f0
0x9810	0x9761
0x9811	0x8ae6
0x9812	0x94d0
0x9813	0x93da
0x9817	0x909c
0x9818	0x97cc
0x981a	0x8c7a
0x9821	0xe8f4
0x9824	0xe8f3
0x982c	0x966a
0x982d	0x93aa
0x9834	0x896f
0x9837	0xe8f5
0x9838	0xe8f2
0x983b	0x9570
0x983c	0x978a
0x983d	0xe8f6
0x9846	0xe8f7
0x984b	0xe8f9
0x984c	0x91e8
0x984d	0x8a7a
0x984e	0x8a7b
0x984f	0xe8f8
0x9854	0x8ae7
0x9855	0x8cb0
0x9857	0xfbf4
0x9858	0x8ae8
0x985b	0x935e
0x985e	0x97de
0x9865	0xfbf5
0x9867	0x8cda
0x986b	0xe8fa
0x986f	0xe8fb
0x9870	0xe8fc
0x9871	0xe940
0x9873	0xe942
0x9874	0xe941
0x98a8	0x9597
0x98aa	0xe943
0x98af	0xe944
0x98b1	0xe945
0x98b6	0xe946
0x98c3	0xe948
0x98c4	0xe947
0x98c6	0xe949
0x98db	0x94f2
0x98dc	0xe3ca
0x98df	0x9048
0x98e2	0x8b51
0x98e9	0xe94a
0x98eb	0xe94b
0x98ed	0x99aa
0x98ee	0x9f5a
0x98ef	0x94d1
0x98f2	0x88f9
0x98f4	0x88b9
0x98fc	0x8e94
0x98fd	0x964f
0x98fe	0x8ffc
0x9903	0xe94c
0x9905	0x96dd
0x9909	0xe94d
0x990a	0x977b
0x990c	0x8961
0x9910	0x8e60
0x9912	0xe94e
0x9913	0x89ec
0x9914	0xe94f
0x9918	0xe950
0x991d	0xe952
0x991e	0xe953
0x9920	0xe955
0x9921	0xe951
0x9924	0xe954
0x9927	0xfbf8
0x9928	0x8ad9
0x992c	0xe956
0x992e	0xe957
0x993d	0xe958
0x993e	0xe959
0x9942	0xe95a
0x9945	0xe95c
0x9949	0xe95b
0x994b	0xe95e
0x994c	0xe961
0x9950	0xe95d
0x9951	0xe95f
0x9952	0xe960
0x9955	0xe962
0x9957	0x8bc0
0x9996	0x8ef1
0x9997	0xe963
0x9998	0xe964
0x9999	0x8d81
0x999e	0xfbfa
0x99a5	0xe965
0x99a8	0x8a5d
0x99ac	0x946e
0x99ad	0xe966
0x99ae	0xe967
0x99b3	0x9279
0x99b4	0x93e9
0x99bc	0xe968
0x99c1	0x949d
0x99c4	0x91ca
0x99c5	0x8977
0x99c6	0x8bec
0x99c8	0x8bed
0x99d0	0x9293
0x99d1	0xe96d
0x99d2	0x8bee
0x99d5	0x89ed
0x99d8	0xe96c
0x99db	0xe96a
0x99dd	0xe96b
0x99df	0xe969
0x99e2	0xe977
0x99ed	0xe96e
0x99ee	0xe96f
0x99f1	0xe970
0x99f2	0xe971
0x99f8	0xe973
0x99fb	0xe972
0x99ff	0x8f78
0x9a01	0xe974
0x9a05	0xe976
0x9a0e	0x8b52
0x9a0f	0xe975
0x9a12	0x919b
0x9a13	0x8cb1
0x9a19	0xe978
0x9a28	0x91cb
0x9a2b	0xe979
0x9a30	0x93ab
0x9a37	0xe97a
0x9a3e	0xe980
0x9a40	0xe97d
0x9a42	0xe97c
0x9a43	0xe97e
0x9a45	0xe97b
0x9a4d	0xe982
0x9a4e	0xfbfb
0x9a55	0xe981
0x9a57	0xe984
0x9a5a	0x8bc1
0x9a5b	0xe983
0x9a5f	0xe985
0x9a62	0xe986
0x9a64	0xe988
0x9a65	0xe987
0x9a69	0xe989
0x9a6a	0xe98b
0x9a6b	0xe98a
0x9aa8	0x8d9c
0x9aad	0xe98c
0x9ab0	0xe98d
0x9ab8	0x8a5b
0x9abc	0xe98e
0x9ac0	0xe98f
0x9ac4	0x9091
0x9acf	0xe990
0x9ad1	0xe991
0x9ad3	0xe992
0x9ad4	0xe993
0x9ad8	0x8d82
0x9ad9	0xfbfc
0x9adc	0xfc40
0x9ade	0xe994
0x9adf	0xe995
0x9ae2	0xe996
0x9ae3	0xe997
0x9ae6	0xe998
0x9aea	0x94af
0x9aeb	0xe99a
0x9aed	0x9545
0x9aee	0xe99b
0x9aef	0xe999
0x9af1	0xe99d
0x9af4	0xe99c
0x9af7	0xe99e
0x9afb	0xe99f
0x9b06	0xe9a0
0x9b18	0xe9a1
0x9b1a	0xe9a2
0x9b1f	0xe9a3
0x9b22	0xe9a4
0x9b23	0xe9a5
0x9b25	0xe9a6
0x9b27	0xe9a7
0x9b28	0xe9a8
0x9b29	0xe9a9
0x9b2a	0xe9aa
0x9b2e	0xe9ab
0x9b2f	0xe9ac
0x9b31	0x9f54
0x9b32	0xe9ad
0x9b3b	0xe2f6
0x9b3c	0x8b53
0x9b41	0x8a40
0x9b42	0x8db0
0x9b43	0xe9af
0x9b44	0xe9ae
0x9b45	0x96a3
0x9b4d	0xe9b1
0x9b4e	0xe9b2
0x9b4f	0xe9b0
0x9b51	0xe9b3
0x9b54	0x9682
0x9b58	0xe9b4
0x9b5a	0x8b9b
0x9b6f	0x9844
0x9b72	0xfc42
0x9b74	0xe9b5
0x9b75	0xfc41
0x9b83	0xe9b7
